variable,variable_dane,fuente,etiqueta_dane,tipo_dane,formato_dane,ancho_dane,categorias_dane,tipo_en_geih2018_tipado,n_na,n_valores_unicos,minimo,maximo,tipo_recomendado_R,observaciones
p6585s2a1,P6585S2A1,DANE (pregunta/variable de la GEIH),"¿cuánto? (si recibió pero no sabe el monto, escriba 98)",Continua,Numérico,7,,integer,21603,117,0.0,3000000.0,integer (cantidad entera),
p6585s2a2,P6585S2A2,DANE (pregunta/variable de la GEIH),¿incluyo este valor en los ingresos del mes pasado que me declaró anteriormente?,Discreta,Numérico,1,1=Sí; 2=No,integer,26706,2,1.0,2.0,integer 1/2 -> dummy 0/1 si se usa,
p6585s3,P6585S3,DANE (pregunta/variable de la GEIH),Subsidio familiar?,Discreta,Numérico,1,"1=Si; 2=No; 9=No sabe, no informa",integer,21549,3,1.0,9.0,integer 1/2/9 -> dummy 0/1 con 9 = NA,"código 9 = 'No sabe, no informa' presente en 16 casos: tratar como NA"
p6585s3a1,P6585S3A1,DANE (pregunta/variable de la GEIH),"¿cuánto? (si recibió pero no sabe el monto, escriba 98)",Continua,Numérico,6,,integer,21565,139,0.0,940000.0,integer (cantidad entera),
p6585s3a2,P6585S3A2,DANE (pregunta/variable de la GEIH),¿incluyo este valor en los ingresos del mes pasado que me declaró anteriormente?,Discreta,Numérico,1,1=Sí; 2=No,integer,29876,2,1.0,2.0,integer 1/2 -> dummy 0/1 si se usa,
p6585s4,P6585S4,DANE (pregunta/variable de la GEIH),Subsidio educativo?,Discreta,Numérico,1,"1=Sí; 2=No; 9=No sabe, no informa",integer,21549,3,1.0,9.0,integer 1/2/9 -> dummy 0/1 con 9 = NA,"código 9 = 'No sabe, no informa' presente en 2 casos: tratar como NA"
p6585s4a1,P6585S4A1,DANE (pregunta/variable de la GEIH),"¿cuánto recibió? (si recibió pero no sabe el monto, escriba 98)",Continua,Numérico,8,,integer,21549,26,0.0,2700000.0,integer (cantidad entera),
p6585s4a2,P6585S4A2,DANE (pregunta/variable de la GEIH),¿incluyo este valor en los ingresos del mes pasado que me declaró anteriormente?,Discreta,Numérico,1,1=Sí; 2=No,integer,32139,2,1.0,2.0,integer 1/2 -> dummy 0/1 si se usa,
p6590,P6590,DANE (pregunta/variable de la GEIH),"Además del salario en dinero, ¿el mes pasado recibió alimentos como parte de pago por su trabajo?",Discreta,Numérico,1,"1=Sí; 2=No; 9=No sabe, no informa",integer,21549,3,1.0,9.0,integer 1/2/9 -> dummy 0/1 con 9 = NA,"código 9 = 'No sabe, no informa' presente en 6 casos: tratar como NA"
p6590s1,P6590S1,DANE (pregunta/variable de la GEIH),"¿en cuánto estima lo que recibió el mes pasado? (si recibió pero no sabe estimar el monto, escriba 98)",Continua,Numérico,7,,integer,21549,125,0.0,1000000.0,integer (cantidad entera),
p6600,P6600,DANE (pregunta/variable de la GEIH),"Además del salario en dinero, ¿el mes pasado recibió vivienda como parte de pago por su trabajo?",Discreta,Numérico,1,"1=Sí; 2=No; 9=No sabe, no informa",integer,21549,3,1.0,9.0,integer 1/2/9 -> dummy 0/1 con 9 = NA,"código 9 = 'No sabe, no informa' presente en 3 casos: tratar como NA"
p6600s1,P6600S1,DANE (pregunta/variable de la GEIH),"¿en cuánto estima lo que recibió el mes pasado? (si recibió pero no sabe estimar el monto, escriba 98)",Continua,Numérico,7,,integer,21549,20,0.0,6000000.0,integer (cantidad entera),
p6610,P6610,DANE (pregunta/variable de la GEIH),¿normalmente ... Utiliza transporte de la empresa para desplazarse a su trabajo (bus o automóvil)?,Discreta,Numérico,1,"1=Sí; 2=No; 9=No sabe, no informa",integer,21549,3,1.0,9.0,integer 1/2/9 -> dummy 0/1 con 9 = NA,"código 9 = 'No sabe, no informa' presente en 3 casos: tratar como NA"
p6610s1,P6610S1,DANE (pregunta/variable de la GEIH),"¿en cuánto estima lo que recibió el mes pasado? (si recibió pero no sabe estimar el monto, escriba 98)",Continua,Numérico,7,,integer,21549,62,0.0,3000000.0,integer (cantidad entera),
p6620,P6620,DANE (pregunta/variable de la GEIH),"Además del salario en dinero, ¿el mes pasado... Recibió otros ingresos en especie por su trabajo (electrodomésticos, rop",Discreta,Numérico,1,"1=Sí; 2=No; 9=No sabe, no informa",integer,21549,3,1.0,9.0,integer 1/2/9 -> dummy 0/1 con 9 = NA,"código 9 = 'No sabe, no informa' presente en 4 casos: tratar como NA"
p6620s1,P6620S1,DANE (pregunta/variable de la GEIH),"¿en cuánto estima lo que recibió el mes pasado? (si recibió pero no sabe estimar el monto, escriba 98)",Continua,Numérico,7,,integer,21549,47,0.0,4500000.0,integer (cantidad entera),
p6630s1,P6630S1,DANE (pregunta/variable de la GEIH),Prima de servicios?,Discreta,Numérico,1,1=Sí; 2=No,integer,21549,2,1.0,2.0,integer 1/2 -> dummy 0/1 si se usa,
p6630s1a1,P6630S1A1,DANE (pregunta/variable de la GEIH),"¿cuánto recibió? (si recibió pero no sabe el monto, escriba 98)",Continua,Numérico,8,,integer,21549,400,0.0,56000000.0,integer (cantidad entera),
p6630s2,P6630S2,DANE (pregunta/variable de la GEIH),Prima de navidad?,Discreta,Numérico,1,1=Sí; 2=No,integer,21549,2,1.0,2.0,integer 1/2 -> dummy 0/1 si se usa,
p6630s2a1,P6630S2A1,DANE (pregunta/variable de la GEIH),"¿cuánto recibió? (si recibió pero no sabe el monto, escriba 98)",Continua,Numérico,8,,integer,21549,98,0.0,36500000.0,integer (cantidad entera),
p6630s3,P6630S3,DANE (pregunta/variable de la GEIH),Prima de vacaciones?,Discreta,Numérico,1,1=Sí; 2=No,integer,21549,2,1.0,2.0,integer 1/2 -> dummy 0/1 si se usa,
p6630s3a1,P6630S3A1,DANE (pregunta/variable de la GEIH),"¿cuánto recibió? (si recibió pero no sabe el monto, escriba 98)",Continua,Numérico,8,,integer,21549,78,0.0,77000000.0,integer (cantidad entera),
p6630s4,P6630S4,DANE (pregunta/variable de la GEIH),Viáticos permanentes y/o bonificaciones anuales?,Discreta,Numérico,1,1=Sí; 2=No,integer,21549,2,1.0,2.0,integer 1/2 -> dummy 0/1 si se usa,DANE: 'Viáticos permanentes y/o bonificaciones anuales'
p6630s4a1,P6630S4A1,DANE (pregunta/variable de la GEIH),"¿cuánto recibió? (si recibió pero no sabe el monto, escriba 98)",Continua,Numérico,8,,integer,21549,89,0.0,130000000.0,integer (cantidad entera),
p6630s6,P6630S6,DANE (pregunta/variable de la GEIH),Pagos por accidentes de trabajo,Discreta,Numérico,1,1=Sí; 2=No,integer,21549,2,1.0,2.0,integer 1/2 -> dummy 0/1 si se usa,DANE: 'Pagos por accidentes de trabajo' (el diccionario del curso dice 'bonificaciones anuales'); y_accidentes_m es coherente con DANE
p6630s6a1,P6630S6A1,DANE (pregunta/variable de la GEIH),Cuánto recibió,Continua,Numérico,8,,integer,21549,19,0.0,3125000.0,integer (cantidad entera),
p6750,P6750,DANE (pregunta/variable de la GEIH),"¿cuál fue la ganancia neta o los honorarios netos de ... Esa actividad, negocio, profesión o finca, el mes pasado?",Continua,Numérico,8,,integer,27273,234,84.0,70000000.0,integer (cantidad entera),DANE: 00/98/99 códigos; datos sin 0/98/99 pero con valores de 84 y 97 pesos (extremos que DANE reimputa)
p6760,P6760,DANE (pregunta/variable de la GEIH),¿a cuántos meses corresponde lo que recibió?,Continua,Numérico,2,,integer,26395,5,1.0,12.0,integer (cantidad entera),DANE: solo 01-12; datos 1-12
p550,P550,DANE (pregunta/variable de la GEIH),¿cuál fue la ganancia neta del negocio o de la cosecha durante los últimos 12 meses?,Discreta,Numérico,7,,integer (todo NA),32177,0,,,integer (cantidad entera),100% NA: pregunta solo para centros poblados y rural disperso
hoursWorkUsual,P6800,DANE (pregunta/variable de la GEIH),¿cuántas horas a la semana trabaja normalmente ... En ese trabajo?,Continua,Numérico,3,,integer,15495,107,1.0,130.0,integer (cantidad entera),"rango DANE 1-126; datos hasta 130; 34 casos en 98 (14h x 7 días, no es código)"
p6870,P6870,DANE (pregunta/variable de la GEIH),"¿cuántas personas en total tiene la empresa, negocio, industria, oficina, firma o finca o sitio donde ... Trabaja?",Discreta,Numérico,1,1=Trabaja solo; 2=2 a 3 personas; 3=4 a 5 personas; 4=6 a 10 personas; 5=11 a 19 personas; 6=20 a 30 personas; 7=31 a 50 personas; 8=51 a 100 personas; 9=101 o más personas,integer,15495,9,1.0,9.0,factor (categórica),9 = '101 o más personas' es categoría válida (no NA)
p6920,P6920,DANE (pregunta/variable de la GEIH),¿está ... Cotizando actualmente a un fondo de pensiones?,Discreta,Numérico,1,1=Sí; 2=No; 3=Ya es pensionado,integer,15514,3,1.0,3.0,factor (categórica),
p7040,P7040,DANE (pregunta/variable de la GEIH),"Además de la ocupación principal, ¿... Tenía la semana pasada otro trabajo o negocio?",Discreta,Numérico,1,1=Sí; 2=No,integer,15495,2,1.0,2.0,integer 1/2 -> dummy 0/1 si se usa,
hoursWorkActualSecondJob,P7045,DANE (pregunta/variable de la GEIH),¿Cuántas horas trabajó ... la semana pasada en ese segundo trabajo?,Continua,Numérico,2,,integer,31612,33,1.0,50.0,integer (cantidad entera),
p7050,P7050,DANE (pregunta/variable de la GEIH),En ese segundo trabajo ... Es:,Discreta,Numérico,1,1=Obrero o empleado de empresa particular; 2=Obrero o empleado del gobierno; 3=Empleado doméstico; 4=Trabajador por cuenta propia; 5=Patrón o empleador; 6=Trabajador familiar sin remuneración; 7=Trabajador sin remuneración en empresas o negocios de otros hogares; 8=Jornalero o peón; 9=Otro,integer,31565,9,1.0,9.0,factor (categórica),9 = 'Otro' es categoría válida
p7070,P7070,DANE (pregunta/variable de la GEIH),¿cuánto recibio o ganó ... El mes pasado en ese segundo trabajo?,Continua,Numérico,8,,integer,15527,90,0.0,10000000.0,integer (cantidad entera),
p7090,P7090,DANE (pregunta/variable de la GEIH),Además de la horas que trabaja actualmente ¿... Quiere trabajar más horas?,Discreta,Numérico,1,1=Sí; 2=No,integer,15495,2,1.0,2.0,integer 1/2 -> dummy 0/1 si se usa,
p7110,P7110,DANE (pregunta/variable de la GEIH),"Durante las ultimas 4 semanas, ¿... Hizo diligencias para trabajar más horas?",Discreta,Numérico,1,1=Sí; 2=No,integer,30556,2,1.0,2.0,integer 1/2 -> dummy 0/1 si se usa,
p7120,P7120,DANE (pregunta/variable de la GEIH),Si la semana pasada le hubiera resultado la posibilidad de trabajar más horas ¿estaba ... Disponible para hacerlo?,Discreta,Numérico,1,1=Sí; 2=No,integer,30556,2,1.0,2.0,integer 1/2 -> dummy 0/1 si se usa,
p7140s1,P7140S1,DANE (pregunta/variable de la GEIH),Para mejorar la utilización de sus capacidades o formación?,Discreta,Numérico,1,1=Sí; 2=No,integer,28712,2,1.0,2.0,integer 1/2 -> dummy 0/1 si se usa,
p7140s2,P7140S2,DANE (pregunta/variable de la GEIH),Desea mejorar sus ingresos?,Discreta,Numérico,1,1=Sí; 2=No,integer,28712,2,1.0,2.0,integer 1/2 -> dummy 0/1 si se usa,
p7150,P7150,DANE (pregunta/variable de la GEIH),"Durante las ultimas 4 semanas, ¿... Hizo diligencias para cambiar de trabajo?",Discreta,Numérico,1,1=Sí; 2=No,integer,28712,2,1.0,2.0,integer 1/2 -> dummy 0/1 si se usa,
p7160,P7160,DANE (pregunta/variable de la GEIH),Si le resultara un nuevo trabajo o empleo a ... ¿podría empezar a desempeñarlo antes de un mes?,Discreta,Numérico,1,"1=Sí; 2=No; 9=No sabe, no informa",integer,28712,3,1.0,9.0,integer 1/2/9 -> dummy 0/1 con 9 = NA,"código 9 = 'No sabe, no informa' presente en 29 casos: tratar como NA"
p7310,P7310,DANE (pregunta/variable de la GEIH),¿... Ha buscado trabajo por primera vez o había trabajado antes por lo menos durante dos semanas consecutivas?,Discreta,Numérico,1,1=Primera vez; 2=Trabajó antes,integer,30202,2,1.0,2.0,factor 1/2,
p7350,P7350,DANE (pregunta/variable de la GEIH),En este último trabajo era:,Discreta,Numérico,1,1=Obrero o empleado de empresa particular; 2=Obrero o empleado del gobierno; 3=Empleado doméstico; 4=Trabajador por cuenta propia; 5=Patrón o empleador; 6=Trabajador familiar sin remuneración; 7=Trabajador sin remuneración en empresas o negocios de otros hogares; 8=Jornalero o peón; 9=Otro,integer,30390,9,1.0,9.0,factor (categórica),9 = 'Otro' es categoría válida
p7422,P7422,DANE (pregunta/variable de la GEIH),¿recibió o ganó el mes pasado ingresos por concepto de trabajo?,Discreta,Numérico,1,1=Sí; 2=No,integer,30390,2,1.0,2.0,integer 1/2 -> dummy 0/1 si se usa,
p7422s1,P7422S1,DANE (pregunta/variable de la GEIH),¿cuánto?,Continua,Numérico,7,,integer,30390,93,0.0,14000000.0,integer (cantidad entera),
p7472,P7472,DANE (pregunta/variable de la GEIH),¿recibió o ganó el mes pasado ingresos por concepto de trabajo?,Discreta,Numérico,1,1=Sí; 2=No,integer,23545,2,1.0,2.0,integer 1/2 -> dummy 0/1 si se usa,pregunta del capítulo INACTIVOS (no desocupados)
p7472s1,P7472S1,DANE (pregunta/variable de la GEIH),¿cuánto?,Continua,Numérico,7,,integer,23545,52,0.0,5000000.0,integer (cantidad entera),pregunta del capítulo INACTIVOS (no desocupados)
p7495,P7495,DANE (pregunta/variable de la GEIH),"El mes pasado, ¿recibió pagos por concepto de arriendos o pensiones?",Discreta,Numérico,1,1=Sí; 2=No,integer,4888,2,1.0,2.0,integer 1/2 -> dummy 0/1 si se usa,
p7500s1,P7500S1,DANE (pregunta/variable de la GEIH),"Arriendos de casas, apartamentos, fincas, lotes, vehículos, equipos etc",Discreta,Numérico,1,"1=Sí; 2=No; 9=No sabe, no informa",integer,28315,3,1.0,9.0,integer 1/2/9 -> dummy 0/1 con 9 = NA,"código 9 = 'No sabe, no informa' presente en 1 casos: tratar como NA"
p7500s1a1,P7500S1A1,DANE (pregunta/variable de la GEIH),Valor mes pasado,Continua,Numérico,8,,integer,4888,138,0.0,20000000.0,integer (cantidad entera),
p7500s2,P7500S2,DANE (pregunta/variable de la GEIH),"Pensiones o jubilaciones por vejez, invalidez o sustitución pensional",Discreta,Numérico,1,"1=Sí; 2=No; 9=No sabe, no informa",integer,28315,3,1.0,9.0,integer 1/2/9 -> dummy 0/1 con 9 = NA,"código 9 = 'No sabe, no informa' presente en 1 casos: tratar como NA"
p7500s2a1,P7500S2A1,DANE (pregunta/variable de la GEIH),Valor mes pasado,Continua,Numérico,8,,integer,4888,267,0.0,80000000.0,integer (cantidad entera),
p7500s3,P7500S3,DANE (pregunta/variable de la GEIH),"Pensión alimenticia por paternidad, divorcio o separación",Discreta,Numérico,1,"1=Sí; 2=No; 9=No sabe, no informa",integer,28315,3,1.0,9.0,integer 1/2/9 -> dummy 0/1 con 9 = NA,"código 9 = 'No sabe, no informa' presente en 1 casos: tratar como NA"
p7500s3a1,P7500S3A1,DANE (pregunta/variable de la GEIH),Valor mes pasado,Continua,Numérico,7,,integer,4888,66,0.0,7200000.0,integer (cantidad entera),
p7505,P7505,DANE (pregunta/variable de la GEIH),"Durante los últimos doce meses, ¿recibió dinero de otros hogares, personas o instituciones; dinero por intereses, divide",Discreta,Numérico,1,1=Sí; 2=No,integer,4888,2,1.0,2.0,integer 1/2 -> dummy 0/1 si se usa,
p7510s1,P7510S1,DANE (pregunta/variable de la GEIH),Dinero de otros hogares o personas residentes en el país?,Discreta,Numérico,1,"1=Sí; 2=No; 9=No sabe, no informa",integer,24342,3,1.0,9.0,integer 1/2/9 -> dummy 0/1 con 9 = NA,"código 9 = 'No sabe, no informa' presente en 8 casos: tratar como NA"
p7510s1a1,P7510S1A1,DANE (pregunta/variable de la GEIH),Valor,Continua,Numérico,8,,integer,4888,147,0.0,120000000.0,integer (cantidad entera),
p7510s2,P7510S2,DANE (pregunta/variable de la GEIH),Dinero de otros hogares o personas residentes fuera del país?,Discreta,Numérico,1,"1=Sí; 2=No; 9=No sabe, no informa",integer,24342,3,1.0,9.0,integer 1/2/9 -> dummy 0/1 con 9 = NA,"código 9 = 'No sabe, no informa' presente en 3 casos: tratar como NA"
p7510s2a1,P7510S2A1,DANE (pregunta/variable de la GEIH),Valor,Continua,Numérico,8,,integer,4888,49,0.0,96000000.0,integer (cantidad entera),
p7510s3,P7510S3,DANE (pregunta/variable de la GEIH),Ayudas en dinero de instituciones del país o de fuera del país?,Discreta,Numérico,1,"1=Sí; 2=No; 9=No sabe, no informa",integer,24342,3,1.0,9.0,integer 1/2/9 -> dummy 0/1 con 9 = NA,"código 9 = 'No sabe, no informa' presente en 2 casos: tratar como NA"
p7510s3a1,P7510S3A1,DANE (pregunta/variable de la GEIH),Valor,Continua,Numérico,8,,integer,4888,113,0.0,30000000.0,integer (cantidad entera),
p7510s5,P7510S5,DANE (pregunta/variable de la GEIH),Durante los últimos doce meses recibió,Discreta,Numérico,1,"1=Sí; 2=No; 9=No sabe, no informa",integer,24342,3,1.0,9.0,integer 1/2/9 -> dummy 0/1 con 9 = NA,"código 9 = 'No sabe, no informa' presente en 90 casos: tratar como NA"
p7510s5a1,P7510S5A1,DANE (pregunta/variable de la GEIH),Valor,Continua,Numérico,9,,integer,4888,64,0.0,400000000.0,integer (cantidad entera),
p7510s6,P7510S6,DANE (pregunta/variable de la GEIH),Ingresos por concepto de cesantías y/o intereses a la cesatías,Discreta,Numérico,1,"1=Sí; 2=No; 9=No sabe, no informa",integer,24342,3,1.0,9.0,integer 1/2/9 -> dummy 0/1 con 9 = NA,"código 9 = 'No sabe, no informa' presente en 121 casos: tratar como NA"
p7510s6a1,P7510S6A1,DANE (pregunta/variable de la GEIH),Valor,Continua,Numérico,8,,integer,4888,303,0.0,75000000.0,integer (cantidad entera),
p7510s7,P7510S7,DANE (pregunta/variable de la GEIH),Durante los últimos doce meses recibió,Discreta,Numérico,1,"1=Sí; 2=No; 9=No sabe, no informa",integer,24342,3,1.0,9.0,integer 1/2/9 -> dummy 0/1 con 9 = NA,"código 9 = 'No sabe, no informa' presente en 28 casos: tratar como NA"
p7510s7a1,P7510S7A1,DANE (pregunta/variable de la GEIH),Valor,Continua,Numérico,8,,integer,4888,253,0.0,220000000.0,integer (cantidad entera),
pet,,Curso (construida por M. Fernández),,,,,,integer,4888,1,1.0,1.0,integer 1/NA -> convertir a 0/1 si se usa,codificada 1/NA como OCI/DSI/INI del DANE
ina,INI,DANE (pregunta/variable de la GEIH),Inactivos,Discreta,Numérico,1,1=Inactivos,integer,23545,1,1.0,1.0,integer 1/NA -> convertir a 0/1 si se usa,codificada 1/NA como OCI/DSI/INI del DANE
impa,,"DANE (módulo de ingresos, pobreza monetaria)",,,,,,double,15767,3710,0.0,50000000.0,double (cantidad),
isa,,"DANE (módulo de ingresos, pobreza monetaria)",,,,,,integer,15527,90,0.0,10000000.0,integer (cantidad entera),
ie,,"DANE (módulo de ingresos, pobreza monetaria)",,,,,,integer,21549,183,0.0,6300000.0,integer (cantidad entera),
