archivo,variable,etiqueta,tipo,formato,ancho,decimales,rango_min,rango_max,categorias,pregunta_literal,universo,instrucciones,url,notas
F258,FT,Fuerza de trabajo,Discreta,Numérico,1,0,,,1=Fuerza de trabajo,Fuerza de trabajo,"El universo para la Gran Encuesta Integrada de Hogares está conformado por la población civil no institucional, residente en todo el territorio nacional.",,https://microdatos.dane.gov.co/index.php/catalog/547/variable/F258/V13428,Sin sección de instrucciones del entrevistador; la página incluye texto previo a la pregunta 'Mes' y una descripción sobre informantes (directo para 18+ y para 10-17 que trabajan o buscan trabajo).
F255,P4030S1A1,Estrato para tarifa,Discreta,Numérico,1,0,,,0=Conexión pirata; 1=Bajo - bajo; 2=Bajo; 3=Medio - bajo; 4=Medio; 5=Medio - alto; 6=Alto; 9=No sabe o cuenta con planta eléctrica,4a. Estrato para tarifa,"La población civil no institucional, residente en todo el territorio nacional",Se responde solo si marcó 1 (Sí) en P4030S1 (energía eléctrica). Estrato 1 a 6; 0 si la conexión es pirata; 9 si no es posible establecer el estrato o la vivienda cuenta con planta eléctrica. Solicitar el último recibo de energía y registrar el estrato.,https://microdatos.dane.gov.co/index.php/catalog/547/variable/F255/V13355,
F260,P7310,¿... Ha buscado trabajo por primera vez o había trabajado antes por lo menos durante dos semanas consecutivas?,Discreta,Numérico,1,0,,,1=Primera vez; 2=Trabajó antes,5.¿...... ha buscado trabajo por primera vez o había trabajado antes por lo menos durante dos semanas consecutivas?,"La población civil no institucional, residente en todo el territorio nacional; va dirigida a todos los hogares encontrados en la vivienda y solamente para personas de 10 años y más.",Conocer si buscó trabajo por primera vez o había trabajado antes al menos dos semanas consecutivas; sirve para clasificar a los desocupados en cesantes y aspirantes.,https://microdatos.dane.gov.co/index.php/catalog/547/variable/F260/V13606,
F260,P7350,En este último trabajo era:,Discreta,Numérico,1,0,,,1=Obrero o empleado de empresa particular; 2=Obrero o empleado del gobierno; 3=Empleado doméstico; 4=Trabajador por cuenta propia; 5=Patrón o empleador; 6=Trabajador familiar sin remuneración; 7=Trabajador sin remuneración en empresas o negocios de otros hogares; 8=Jornalero o peón; 9=Otro,9. En este último trabajo era: a. Obrero o empleado de empresa particular b. Obrero o empleado del Gobierno c. Empleado doméstico d. Trabajador por cuenta propia e. Patrón o empleador f. Trabajador familiar sin remuneración g. Trabajador sin remuneración en empresas de otros hogares h. Jornalero o peón i. Otro,"La población civil no institucional, residente en todo el territorio nacional; va dirigida a todos los hogares encontrados en la vivienda y solamente para personas de 10 años y más.","Obtener la posición ocupacional del último trabajo. Leer las alternativas; cada categoría se define en detalle (p.ej. obrero o empleado de empresa particular = asalariado de un empleador privado, incluye organizaciones de servicio social, sindicales, iglesias y otras sin ánimo de lucro).",https://microdatos.dane.gov.co/index.php/catalog/547/variable/F260/V13608,
F260,P7422,¿recibió o ganó el mes pasado ingresos por concepto de trabajo?,Discreta,Numérico,1,0,,,1=Sí; 2=No,¿Recibió o ganó el mes pasado ingresos por concepto de trabajo?,"La población civil no institucional, residente en todo el territorio nacional; va dirigida a todos los hogares encontrados en la vivienda y solamente para personas de 10 años y más.","Establecer los ingresos por trabajo del mes pasado. Si responde 1 (Sí), indagar por el monto. Si recibió pero no sabe el monto, escriba 98.",https://microdatos.dane.gov.co/index.php/catalog/547/variable/F260/V13624,
F260,P7422S1,¿cuánto?,Continua,Numérico,7,0,,,,14. ¿Recibió o ganó el mes pasado ingresos por concepto de trabajo? a. ¿cuánto? $ ______________,"El universo para la Gran Encuesta Integrada de Hogares está conformado por la población civil no institucional, residente en todo el territorio nacional; va dirigida a todos los hogares encontrados en la vivienda y solamente para personas de 10 años y más que hayan marcado la opción 1(Si) en la pregunta 14(P7422) del capítulo J. DESOCUPADOS.","Se responde solo si marcó 1 (Sí) en la pregunta 14 (P7422) del cap. J. DESOCUPADOS. Si recibió pero no sabe el monto, escriba 98.",https://microdatos.dane.gov.co/index.php/catalog/547/variable/F260/V13625,
F260,DSI,Desocupados,Discreta,Numérico,1,0,,,1=Desocupados,Desocupados,"La población civil no institucional, residente en todo el territorio nacional",,https://microdatos.dane.gov.co/index.php/catalog/547/variable/F260/V13632,La página no muestra instrucciones del entrevistador.
F261,P7472,¿recibió o ganó el mes pasado ingresos por concepto de trabajo?,Discreta,Numérico,1,0,,,1=Sí; 2=No,10. ¿Recibió o ganó el mes pasado ingresos por concepto de trabajo?,"La población civil no institucional, residente en todo el territorio nacional; personas de 10 años y más que haya marcado opción 2, 3 ó 9 en pregunta 8(7460) o que haya respondido pregunta 9(P7470) del capítulo K. INACTIVOS.","Se responde solo si marcó 2 (No), 3 (Ya es pensionado) ó 9 (No sabe, no informa) en la pregunta 8 (P7460) o si respondió la pregunta 9 (P7470) del cap. K. INACTIVOS. Permite obtener ingresos de las personas inactivas.",https://microdatos.dane.gov.co/index.php/catalog/547/variable/F261/V13655,ID V13655 inferido; verificado: la página corresponde a P7472.
F261,P7472S1,¿cuánto?,Continua,Numérico,7,0,,,,10. ¿Recibió o ganó el mes pasado ingresos por concepto de trabajo? a. ¿cuánto? $___________,"La población civil no institucional, residente en todo el territorio nacional; va dirigida a todos los hogares encontrados en la vivienda y solamente para personas de 10 años y más que hayan marcado la opción 1(Si) en la pregunta 10(P7422) del capítulo K. INACTIVOS.","Se responde solo si marcó 1 (Sí) en la pregunta 10 (P7422) del cap. K. INACTIVOS. Si recibió pero no sabe el monto, escriba 98.",https://microdatos.dane.gov.co/index.php/catalog/547/variable/F261/V13656,ID V13656 inferido; verificado: la página corresponde a P7472S1. El universo y las instrucciones de la página citan 'P7422' (sic) como pregunta filtro.
F261,INI,Inactivos,Discreta,Numérico,1,0,,,1=Inactivos,Inactivos,"La población civil no institucional, residente en todo el territorio nacional",,https://microdatos.dane.gov.co/index.php/catalog/547/variable/F261/V13661,ID V13661 inferido; verificado: la página corresponde a INI. La página no muestra instrucciones del entrevistador.
F263,P7495,"El mes pasado, ¿recibió pagos por concepto de arriendos o pensiones?",Discreta,Numérico,1,0,,,1=Sí; 2=No,"El mes pasado, ¿recibió pagos por concepto de arriendos y/o pensiones?","La población civil no institucional, residente en todo el territorio nacional; va dirigida a todos los hogares encontrados en la vivienda y solamente para personas de 10 años y más.",Pregunta filtro. Si 1 (Sí) continúe con la siguiente pregunta; si 2 (No) siga a la pregunta 3 (P7505) del cap. M. OTROS INGRESOS.,https://microdatos.dane.gov.co/index.php/catalog/547/variable/F263/V13699,
F263,P7500S1,"Arriendos de casas, apartamentos, fincas, lotes, vehículos, equipos etc",Discreta,Numérico,1,0,,,"1=Sí; 2=No; 9=No sabe, no informa","¿El mes pasado, recibió pagos por: a. Arriendos de casas, apartamentos, fincas, lotes, vehículos, equipos etc","El universo para la Gran Encuesta Integrada de Hogares está conformado por la población civil no institucional, residente en todo el territorio nacional; va dirigida a todos los hogares encontrados en la vivienda y solamente para personas de 10 años y más que hayan marcado la opción a.(Arriendos de casas, apartamentos, fincas, lotes, vehículos, equipos etc) en la pregunta 2(P7500) del capítulo M. OTROS INGRESOS MES PASADO.","Se responde solo si marcó la opción a. en P7500 (cap. M). Capta ingresos de periodicidad mensual. Si recibió pero no sabe el monto, escriba 98. Arriendos = dinero por alquiler de viviendas, locales, bienes agrarios (tractores, arados), maquinaria y equipo.",https://microdatos.dane.gov.co/index.php/catalog/547/variable/F263/V13700,
F263,P7500S1A1,Valor mes pasado,Continua,Numérico,8,0,,,,"2. ¿El mes pasado, recibió pagos por: a. Arriendos de casas, apartamentos, fincas, lotes, vehículos, equipos etc Valor mes pasado $ __________________","El universo para la Gran Encuesta Integrada de Hogares está conformado por la población civil no institucional, residente en todo el territorio nacional; va dirigida a todos los hogares encontrados en la vivienda y solamente para personas de 10 años y más que hayan marcado la opción 1(Si) en la pregunta 2a.(P7500S1)","Se responde solo si marcó 1 (Sí) en 2a (P7500S1). Suma recibida por alquiler de viviendas, locales, bienes agrarios, maquinaria y equipo. Si recibió pero no sabe el monto, escriba 98.",https://microdatos.dane.gov.co/index.php/catalog/547/variable/F263/V13701,
F263,P7500S2,"Pensiones o jubilaciones por vejez, invalidez o sustitución pensional",Discreta,Numérico,1,0,,,"1=Sí; 2=No; 9=No sabe, no informa","¿El mes pasado, recibió pagos por: b. Pensiones o jubilaciones por vejez, invalidez o sustitución pensional","El universo para la Gran Encuesta Integrada de Hogares está conformado por la población civil no institucional, residente en todo el territorio nacional; va dirigida a todos los hogares encontrados en la vivienda y solamente para personas de 10 años y más que hayan marcado la opción b.(Pensiones o jubilaciones por vejez, invalidez o sustitución pensional) en la pregunta 2(P7500) del capítulo M. OTROS INGRESOS MES PASADO.","Se responde solo si marcó la opción b. en P7500 (cap. M). Capta ingresos de periodicidad mensual; define pensiones por vejez, invalidez y sustitución pensional. Si recibió pero no sabe el monto, escriba 98. Registrar ingresos netos, excluyendo descuentos.",https://microdatos.dane.gov.co/index.php/catalog/547/variable/F263/V13702,
F263,P7500S2A1,Valor mes pasado,Continua,Numérico,8,0,,,,"2. ¿El mes pasado, recibió pagos por: b. Pensiones o jubilaciones por vejez, invalidez o sustitución pensional. Valor mes pasado $ __________________","El universo para la Gran Encuesta Integrada de Hogares está conformado por la población civil no institucional, residente en todo el territorio nacional; va dirigida a todos los hogares encontrados en la vivienda y solamente para personas de 10 años y más que hayan marcado la opción 1(Si) en la pregunta 2b.(P7500S2) del capítulo M. OTROS INGRESOS MES PASADO.","Se responde solo si marcó 1 (Sí) en 2b (P7500S2). Si recibió pero no sabe el monto, escriba 98. Registrar ingresos netos, excluyendo descuentos.",https://microdatos.dane.gov.co/index.php/catalog/547/variable/F263/V13703,
F263,P7500S3,"Pensión alimenticia por paternidad, divorcio o separación",Discreta,Numérico,1,0,,,"1=Sí; 2=No; 9=No sabe, no informa","¿El mes pasado, recibió pagos por: c. Pensión alimenticia por paternidad, divorcio o separación","El universo para la Gran Encuesta Integrada de Hogares está conformado por la población civil no institucional, residente en todo el territorio nacional; va dirigida a todos los hogares encontrados en la vivienda y solamente para personas de 10 años y más que hayan marcado la opción c.(Pensión alimenticia por paternidad, divorcio o separación) en la pregunta 2(P7500) del capítulo M. OTROS INGRESOS MES PASADO.","Se responde solo si marcó la opción c. en P7500 (cap. M). Si recibió pero no sabe el monto, escriba 98. Pensión alimenticia: dinero de personas de otro hogar para gastos de menores de 18 años; por divorcio o separación: suma recibida del cónyuge.",https://microdatos.dane.gov.co/index.php/catalog/547/variable/F263/V13704,
F263,P7500S3A1,Valor mes pasado,Continua,Numérico,7,0,,,,"2. ¿El mes pasado, recibió pagos por: c. Pensión alimenticia por paternidad, divorcio o separación Valor mes pasado $ __________________","El universo para la Gran Encuesta Integrada de Hogares está conformado por la población civil no institucional, residente en todo el territorio nacional; va dirigida a todos los hogares encontrados en la vivienda y solamente para personas de 10 años y más que hayan marcado la opción 1(Si) en la pregunta 2c.(P7500S3) del capítulo M. OTROS INGRESOS MES PASADO.","Se responde solo si marcó 1 (Sí) en 2c (P7500S3). Si recibió pero no sabe el monto, escriba 98. Pensión alimenticia: dinero recibido de personas de otro hogar para cubrir gastos de menores de 18 años.",https://microdatos.dane.gov.co/index.php/catalog/547/variable/F263/V13705,
F263,P7505,"Durante los últimos doce meses, ¿recibió dinero de otros hogares, personas o instituciones; dinero por intereses, dividendos, utilidades o cesantías?",Discreta,Numérico,1,0,,,1=Sí; 2=No,"Durante los últimos doce meses, ¿recibió dinero de otros hogares, personas o instituciones no gubernamentales; dinero por intereses, dividendos, utilidades o cesantias?","El universo para la Gran Encuesta Integrada de Hogares está conformado por la población civil no institucional, residente en todo el territorio nacional; va dirigida a todos los hogares encontrados en la vivienda y solamente para personas de 10 años y más que hayan marcado la opción 2(No) en la pregunta 1(P7495) del capítulo M. OTROS INGRESOS MES PASADO.",Se responde solo si marcó 2 (No) en la pregunta 1 (P7495) del cap. M. Pregunta filtro para determinar qué personas recibieron esos ingresos y aplicarles o no la pregunta siguiente.,https://microdatos.dane.gov.co/index.php/catalog/547/variable/F263/V13706,
F263,P7510S1,Dinero de otros hogares o personas residentes en el país?,Discreta,Numérico,1,0,,,"1=Sí; 2=No; 9=No sabe, no informa",4. Durante los últimos doce meses recibió: a. Dinero de otros hogares a personas residentes en el pais?,"la población civil no institucional, residente en todo el territorio nacional; va dirigida a todos los hogares encontrados en la vivienda y solamente para personas de 10 años y más que hayan marcado la opción a.(Dinero de otros hogares a personas residentes en el pais?) en la pregunta 4(P7510) del capítulo M. OTROS INGRESOS ÚLTIMOS DOCE MESES.",Se responde solo si marcó la opción a. en P7510 (cap. M). Capta ingresos no laborales sin periodicidad necesariamente mensual (últimos doce meses). Solo ingresos no reembolsables; los préstamos no se incluyen.,https://microdatos.dane.gov.co/index.php/catalog/547/variable/F263/V13707,
F263,P7510S1A1,Valor,Continua,Numérico,8,0,,,,4. Durante los últimos doce meses recibió: a. Dinero de otros hogares a personas residentes en el pais? Valor $ ___________,"El universo para la Gran Encuesta Integrada de Hogares está conformado por la población civil no institucional, residente en todo el territorio nacional; va dirigida a todos los hogares encontrados en la vivienda y solamente para personas de 10 años y más que hayan marcado la opción 1(Si) en la pregunta 2a.(P7510S1) del capítulo M. OTROS INGRESOS ÚLTIMOS DOCE MESES.",Se responde solo si marcó 1 (Sí) en 2a (P7510S1). Capta ingresos no laborales de los últimos doce meses. Solo ingresos no reembolsables; los préstamos no se incluyen.,https://microdatos.dane.gov.co/index.php/catalog/547/variable/F263/V13708,
F263,P7510S2,Dinero de otros hogares o personas residentes fuera del país?,Discreta,Numérico,1,0,,,"1=Sí; 2=No; 9=No sabe, no informa",4. Durante los últimos doce meses recibió: b. Dinero de otros hogares o personas residentes fuera del país?,"El universo para la Gran Encuesta Integrada de Hogares está conformado por la población civil no institucional, residente en todo el territorio nacional; va dirigida a todos los hogares encontrados en la vivienda y solamente para personas de 10 años y más que hayan marcado la opción b.(Dinero de otros hogares a personas residentes en el pais?) en la pregunta 4(P7510) del capítulo M. OTROS INGRESOS ÚLTIMOS DOCE MESES.","Se responde solo si marcó la opción b. en P7510 (cap. M). Capta ingresos no laborales de periodicidad irregular (últimos doce meses), p.ej. remesas de familiares en el exterior. Solo ingresos no reembolsables; los préstamos no se incluyen.",https://microdatos.dane.gov.co/index.php/catalog/547/variable/F263/V13709,El texto del universo devuelto cita la opción b. con la descripción de la opción a. (tal como lo devolvió la extracción).
F263,P7510S2A1,Valor,Continua,Numérico,8,0,,,,4. Durante los últimos doce meses recibió: b. Dinero de otros hogares o personas residentes fuera del país? Valor $ ___________,"El universo para la Gran Encuesta Integrada de Hogares está conformado por la población civil no institucional, residente en todo el territorio nacional; va dirigida a todos los hogares encontrados en la vivienda y solamente para personas de 10 años y más que hayan marcado la opción 1(Si) en la pregunta 2b.(P7510S2) del capítulo M.",Se responde solo si marcó 1 (Sí) en 2b (P7510S2) del cap. M. Solo ingresos no reembolsables; los préstamos no se incluyen.,https://microdatos.dane.gov.co/index.php/catalog/547/variable/F263/V13710,
F263,P7510S3,Ayudas en dinero de instituciones del país o de fuera del país?,Discreta,Numérico,1,0,,,"1=Sí; 2=No; 9=No sabe, no informa",Durante los últimos doce meses recibió: c. Ayudas en dinero de instituciones del país o de fuera del país?,"El universo para la Gran Encuesta Integrada de Hogares está conformado por la población civil no institucional, residente en todo el territorio nacional; va dirigida a todos los hogares encontrados en la vivienda y solamente para personas de 10 años y más que hayan marcado la opción c.(Ayudas en dinero de instituciones del país o de fuera del país?) en la pregunta 4(P7510) del capítulo M. OTROS INGRESOS ÚLTIMOS DOCE MESES.",Se responde solo si marcó la opción c. en P7510 (cap. M). Capta ingresos no laborales sin periodicidad necesariamente mensual (últimos doce meses). Solo ingresos no reembolsables; los préstamos no se incluyen.,https://microdatos.dane.gov.co/index.php/catalog/547/variable/F263/V13711,
F263,P7510S3A1,Valor,Continua,Numérico,8,0,,,,4. Durante los últimos doce meses recibió: c. Ayudas en dinero de instituciones del país o de fuera del país? Valor $ ___________,"El universo para la Gran Encuesta Integrada de Hogares está conformado por la población civil no institucional, residente en todo el territorio nacional; va dirigida a todos los hogares encontrados en la vivienda y solamente para personas de 10 años y más que hayan marcado la opción 1(Si) en la pregunta 2c.(P7510S3) del capítulo M. OTROS INGRESOS ÚLTIMOS DOCE MESES.",Se responde solo si marcó 1 (Sí) en 2c (P7510S3) del cap. M. Capta ingresos no laborales de los últimos doce meses. Solo ingresos no reembolsables; los préstamos no se incluyen.,https://microdatos.dane.gov.co/index.php/catalog/547/variable/F263/V13712,
F263,P7510S5,Durante los últimos doce meses recibió,Discreta,Numérico,1,0,,,"1=Sí; 2=No; 9=No sabe, no informa","Durante los últimos doce meses recibió: d. Dinero por intereses de prestamos o por CDT's, depósitos de ahorro, utilidades ganancias o dividendos por inversiones?","El universo para la Gran Encuesta Integrada de Hogares está conformado por la población civil no institucional, residente en todo el territorio nacional; va dirigida a todos los hogares encontrados en la vivienda y solamente para personas de 10 años y más que hayan marcado la opción d.(Dinero por intereses de prestamos o por CDT's, depósitos de ahorro, utilidades ganancias o dividendos por inversiones?) en la pregunta 4(P7510) del capítulo M. OTROS INGRESOS ÚLTIMOS DOCE MESES.","Se responde solo si marcó la opción d. en P7510 (cap. M). Captar los intereses adquiridos en el período de referencia, no las devoluciones de préstamos ni las redenciones o cancelaciones de activos financieros. No se incluyen herencias ni regalías.",https://microdatos.dane.gov.co/index.php/catalog/547/variable/F263/V13729,
F263,P7510S5A1,Valor,Continua,Numérico,9,0,,,,"4. Durante los últimos doce meses recibió: d. Dinero por intereses de prestamos o por CDT's, depósitos de ahorro, utilidades ganancias o dividendos por inversiones? Valor $ ___________","El universo para la Gran Encuesta Integrada de Hogares está conformado por la población civil no institucional, residente en todo el territorio nacional; va dirigida a todos los hogares encontrados en la vivienda y solamente para personas de 10 años y más que hayan marcado la opción 1(Si) en la pregunta 2d.(P7510S5) del capítulo M. OTROS INGRESOS ÚLTIMOS DOCE MESES.","Se responde solo si marcó 1 (Sí) en 2d (P7510S5) del cap. M. Capta ingresos no laborales por intereses, CDT, depósitos de ahorro, utilidades o dividendos en los últimos doce meses; solo ingresos no reembolsables.",https://microdatos.dane.gov.co/index.php/catalog/547/variable/F263/V13730,
F263,P7510S6,Ingresos por concepto de cesantías y/o intereses a la cesatías,Discreta,Numérico,1,0,,,"1=Sí; 2=No; 9=No sabe, no informa",Durante los últimos doce meses recibió: e. Ingresos por concepto de cesantías y/o intereses a las cesantías?,"El universo para la Gran Encuesta Integrada de Hogares está conformado por la población civil no institucional, residente en todo el territorio nacional; va dirigida a todos los hogares encontrados en la vivienda y solamente para personas de 10 años y más que hayan marcado la opción e.(Ingresos por concepto de cesantías y/o intereses a las cesantías?) en la pregunta 4(P7510) del capítulo M. OTROS INGRESOS ÚLTIMOS DOCE MESES.","Se responde solo si marcó la opción e. en P7510 (cap. M). Capta ingresos no laborales de los últimos doce meses; solo ingresos no reembolsables, los préstamos no se incluyen.",https://microdatos.dane.gov.co/index.php/catalog/547/variable/F263/V13731,La etiqueta de la página dice 'cesatías' (sic).
F263,P7510S6A1,Valor,Continua,Numérico,8,0,,,,4. Durante los últimos doce meses recibió: e. Ingresos por concepto de cesantías y/o intereses a las cesantías? Valor $ ___________,"El universo para la Gran Encuesta Integrada de Hogares está conformado por la población civil no institucional, residente en todo el territorio nacional; va dirigida a todos los hogares encontrados en la vivienda y solamente para personas de 10 años y más que hayan marcado la opción 1(Si) en la pregunta 2e.(P7510S6) del capítulo M. OTROS INGRESOS ÚLTIMOS DOCE MESES.","Se responde solo si marcó 1 (Sí) en 2e (P7510S6) del cap. M. Captar el valor recibido por cesantías o intereses a las cesantías, en efectivo o como abono a créditos de vivienda.",https://microdatos.dane.gov.co/index.php/catalog/547/variable/F263/V13732,
F263,P7510S7,Durante los últimos doce meses recibió,Discreta,Numérico,1,0,,,"1=Sí; 2=No; 9=No sabe, no informa","Durante los últimos doce meses recibió: f. Dinero de otras fuentes diferentes a las anteriores (ingresos por ganancias en juegos de azar, chances, loterias, indemnizaciones, liquidaciones, venta de propiedades, acciones, vehículos, etc.)","El universo para la Gran Encuesta Integrada de Hogares está conformado por la población civil no institucional, residente en todo el territorio nacional; va dirigida a todos los hogares encontrados en la vivienda y solamente para personas de 10 años y más que hayan marcado la opción f.(Dinero de otras fuentes diferentes a las anteriores) en la pregunta 4(P7510) del capítulo M. OTROS INGRESOS ÚLTIMOS DOCE MESES.","Se responde solo si marcó la opción f. en P7510 (cap. M). Capta ingresos no laborales de los últimos doce meses; solo ingresos no reembolsables, los préstamos no se incluyen.",https://microdatos.dane.gov.co/index.php/catalog/547/variable/F263/V13733,
